asset_id,asset_type,latitude,longitude,age_years,material,inspection_score,tilt_deg,corrosion_score,foundation_type,last_maintenance_date,wind_gust_kmh,rainfall_mm,flood_depth_cm,erosion_index,drainage_score,road_access_score,clearance_score,canopy_distance_m,tree_height_m,feeder_id,downstream_customers,critical_loads,redundancy,factor_wind,factor_rain,factor_tilt,factor_erosion,factor_corrosion,factor_drainage,factor_vegetation,factor_age,factor_thermal,factor_vibration,factor_partial_dc,factor_oil,factor_overload,temp_residual_c,vibration_rms_delta,partial_discharge_cnt,oil_quality_index,loading_ratio,overload_duration_h,risk_score,dominant_cause,critical_load_multiplier,expected_loss,estimated_intervention_cost,net_benefit,priority_score,recommended_action,action_tier,expected_risk_reduction_pct,recommended_crew_type,risk_band,safety_note
A-24,transformer,51.4701,0.17959,8,wood,72,2.4,18,concrete_pad,2026-06-02,23.1,4.8,2.7,21,62,52,40,6.2,7.2,F-100,1243,water_treatment,False,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.3,3.0,63.0,0.7,0.0,0.7,flood_drainage,2.5,1087.62,1200,-967.94,-0.806617,"Inspect and clear all blocked drainage channels within 10 m of the asset. Check for evidence of scour or foundation undermining; photograph and report. Apply temporary erosion-control measures (sandbags, geotextile) if scour is observed. Stage dewatering equipment if significant flooding is forecast. Defer foundation stabilisation work until water has receded and site is safe.",scheduled,48,Civil/drainage engineer + maintenance crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-30,pole,51.53011,-0.11529,4,wood,81,0.0,49,concrete_pad,2026-07-14,72.0,29.6,4.3,12,91,81,76,7.0,12.4,F-103,443,water_treatment,True,6.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7.1,wind_foundation,2.5,2358.97,4500,-3682.57,-0.818349,"Conduct urgent visual inspection of foundation integrity and structural tilt. Arrange engineer-verified bracing assessment; if tilt exceeds safe tolerance, prepare replacement materials and stage crew for post-storm intervention. Do NOT approach or touch the structure during active high-wind conditions.",immediate,55,Structural/civil engineer + two-person utility crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-18,transformer,51.29156,-0.3273,21,concrete,52,1.5,11,direct_buried,2026-03-02,21.6,40.9,3.6,35,76,42,59,4.1,10.0,F-101,1499,none,False,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,-1.0,0.2,2.0,94.0,0.7,0.0,1.3,flood_drainage,1.0,974.35,1200,-1022.31,-0.851925,"Inspect and clear all blocked drainage channels within 10 m of the asset. Check for evidence of scour or foundation undermining; photograph and report. Apply temporary erosion-control measures (sandbags, geotextile) if scour is observed. Stage dewatering equipment if significant flooding is forecast. Defer foundation stabilisation work until water has receded and site is safe.",scheduled,48,Civil/drainage engineer + maintenance crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-23,transformer,51.79107,-0.47666,5,concrete,72,3.0,32,rock_anchor,2026-02-05,46.5,26.1,5.3,47,48,30,42,2.0,19.0,F-102,566,water_treatment,False,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.2,10.0,66.0,0.4,0.0,1.3,flood_drainage,2.5,919.75,1200,-1048.52,-0.873767,"Inspect and clear all blocked drainage channels within 10 m of the asset. Check for evidence of scour or foundation undermining; photograph and report. Apply temporary erosion-control measures (sandbags, geotextile) if scour is observed. Stage dewatering equipment if significant flooding is forecast. Defer foundation stabilisation work until water has receded and site is safe.",scheduled,48,Civil/drainage engineer + maintenance crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-34,substation,51.66453,-0.07127,6,wood,55,2.9,26,direct_buried,2026-01-20,64.60000000000001,27.1,4.8,17,44,57,56,1.2,17.2,F-101,420,water_treatment,False,2.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.3,4.0,94.0,0.3,0.0,3.5,wind_foundation,2.5,1837.5,4500,-3969.38,-0.882084,"Conduct urgent visual inspection of foundation integrity and structural tilt. Arrange engineer-verified bracing assessment; if tilt exceeds safe tolerance, prepare replacement materials and stage crew for post-storm intervention. Do NOT approach or touch the structure during active high-wind conditions.",immediate,55,Structural/civil engineer + two-person utility crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-31,transformer,51.767,0.04283,4,concrete,63,4.0,33,rock_anchor,2026-06-15,73.89999999999999,37.2,1.8,67,86,39,39,5.8,9.5,F-101,208,shelter,True,6.95,0.45,3.75,3.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.3,17.0,79.0,0.8,0.0,14.5,wind_foundation,2.0,1809.6,4500,-3984.72,-0.885493,"Conduct urgent visual inspection of foundation integrity and structural tilt. Arrange engineer-verified bracing assessment; if tilt exceeds safe tolerance, prepare replacement materials and stage crew for post-storm intervention. Do NOT approach or touch the structure during active high-wind conditions.",immediate,55,Structural/civil engineer + two-person utility crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-26,transformer,51.43841,0.24585,7,concrete,61,1.7,34,rock_anchor,2026-01-14,58.6,41.3,6.300000000000001,46,32,52,54,1.5,11.6,F-104,223,shelter,False,0.0,1.9,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.1,9.0,73.0,0.8,0.0,3.9,flood_drainage,2.0,869.7,1200,-1072.54,-0.893783,"Inspect and clear all blocked drainage channels within 10 m of the asset. Check for evidence of scour or foundation undermining; photograph and report. Apply temporary erosion-control measures (sandbags, geotextile) if scour is observed. Stage dewatering equipment if significant flooding is forecast. Defer foundation stabilisation work until water has receded and site is safe.",scheduled,48,Civil/drainage engineer + maintenance crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-39,substation,51.50752,0.02361,10,concrete,62,3.9,59,concrete_pad,2026-03-08,39.2,29.1,5.2,21,37,72,69,2.0,16.0,F-103,627,none,False,0.0,1.3,3.37,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,8.0,71.0,0.6,0.0,5.4,wind_foundation,1.0,1692.9,4500,-4048.9,-0.899756,"Conduct urgent visual inspection of foundation integrity and structural tilt. Arrange engineer-verified bracing assessment; if tilt exceeds safe tolerance, prepare replacement materials and stage crew for post-storm intervention. Do NOT approach or touch the structure during active high-wind conditions.",immediate,55,Structural/civil engineer + two-person utility crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-38,pole,51.27834,0.00803,9,steel,67,0.9,39,concrete_pad,2026-03-31,39.8,42.5,4.1,16,85,42,90,4.3,4.1,F-103,447,shelter,False,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.6,flood_drainage,2.0,715.2,1200,-1146.7,-0.955583,"Inspect and clear all blocked drainage channels within 10 m of the asset. Check for evidence of scour or foundation undermining; photograph and report. Apply temporary erosion-control measures (sandbags, geotextile) if scour is observed. Stage dewatering equipment if significant flooding is forecast. Defer foundation stabilisation work until water has receded and site is safe.",scheduled,48,Civil/drainage engineer + maintenance crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-10,transformer,51.66146,0.02684,13,wood,58,0.7,32,rock_anchor,2025-09-25,31.6,18.8,4.1,63,77,63,48,7.4,8.3,F-102,995,none,True,0.0,1.02,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.2,7.0,70.0,0.6,0.0,2.3,flood_drainage,1.0,686.55,1200,-1160.46,-0.96705,"Inspect and clear all blocked drainage channels within 10 m of the asset. Check for evidence of scour or foundation undermining; photograph and report. Apply temporary erosion-control measures (sandbags, geotextile) if scour is observed. Stage dewatering equipment if significant flooding is forecast. Defer foundation stabilisation work until water has receded and site is safe.",scheduled,48,Civil/drainage engineer + maintenance crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-33,transformer,51.50433,-0.3191,8,wood,88,3.2,23,direct_buried,2025-10-14,44.8,22.2,4.9,53,67,88,71,6.5,13.1,F-104,318,none,True,0.0,1.23,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.3,1.0,60.0,0.5,0.0,2.0,flood_drainage,1.0,190.8,1200,-1398.42,-1.16535,"Inspect and clear all blocked drainage channels within 10 m of the asset. Check for evidence of scour or foundation undermining; photograph and report. Apply temporary erosion-control measures (sandbags, geotextile) if scour is observed. Stage dewatering equipment if significant flooding is forecast. Defer foundation stabilisation work until water has receded and site is safe.",scheduled,48,Civil/drainage engineer + maintenance crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
